productName,dateExpirationDate,boolOnShelf
Sheri tomato,2020-09-10,false
Sheri tomato,2027-09-10,true
Sheri tomato,2027-06-03,true
Sheri tomato,2025-09-10,false
Sheri tomato,2025-06-03,false
Sheri tomato,2025-09-10,false
Sheri tomato,2025-06-03,false
Sheri tomato,2025-09-10,true
Sheri tomato,2025-06-03,true
Yellow banana,2027-09-10,true
Yellow banana,2027-09-10,true
Yellow banana,2020-06-03,true
Yellow banana,2025-09-10,false
Yellow banana,2025-06-03,false
Yellow banana,2025-09-10,false
Yellow banana,2025-06-03,false
Yellow banana,2025-09-10,true
Yellow banana,2025-06-03,true
Red apple,2027-09-10,true
Red apple,2027-09-10,true
Red apple,2027-06-03,true
Red apple,2025-09-10,false
Red apple,2025-06-03,false
Red apple,2025-09-10,false
Red apple,2025-06-03,false
Red apple,2025-09-10,true
Red apple,2020-06-03,true
